iter	Passed	Remaining
859	1448	235
860	1449	234
861	1451	232
862	1452	230
863	1453	228
864	1454	227
865	1455	225
866	1456	223
867	1457	221
868	1459	219
869	1460	218
870	1461	216
871	1462	214
872	1463	212
873	1464	211
874	1465	209
875	1466	207
876	1468	205
877	1469	204
878	1470	202
879	1471	200
880	1472	198
881	1473	197
882	1474	195
883	1475	193
884	1476	191
885	1477	190
886	1479	188
887	1480	186
888	1481	184
889	1482	183
890	1483	181
891	1484	179
892	1485	177
893	1486	176
894	1487	174
895	1488	172
896	1489	171
897	1491	169
898	1492	167
899	1493	165
900	1494	164
901	1495	162
902	1496	160
903	1497	159
904	1498	157
905	1499	155
906	1501	153
907	1502	152
908	1503	150
909	1504	148
910	1505	147
911	1506	145
912	1507	143
913	1508	141
914	1509	140
915	1510	138
916	1511	136
917	1513	135
918	1514	133
919	1515	131
920	1516	130
921	1517	128
922	1518	126
923	1520	125
924	1521	123
925	1522	121
926	1524	120
927	1525	118
928	1526	116
929	1527	114
930	1528	113
931	1529	111
932	1531	109
933	1532	108
934	1533	106
935	1534	104
936	1535	103
937	1536	101
938	1537	99
939	1538	98
940	1539	96
941	1540	94
942	1542	93
943	1543	91
944	1544	89
945	1545	88
946	1546	86
947	1547	84
948	1548	83
949	1549	81
950	1551	79
951	1552	78
952	1553	76
953	1554	74
954	1555	73
955	1556	71
956	1557	69
957	1558	68
958	1559	66
959	1560	65
960	1561	63
961	1562	61
962	1563	60
963	1565	58
964	1565	56
965	1566	55
966	1568	53
967	1569	51
968	1569	50
969	1570	48
970	1571	46
971	1573	45
972	1574	43
973	1575	42
974	1576	40
975	1576	38
976	1577	37
977	1579	35
978	1580	33
979	1581	32
980	1582	30
981	1583	29
982	1584	27
983	1585	25
984	1586	24
985	1587	22
986	1588	20
987	1589	19
988	1590	17
989	1591	16
990	1592	14
991	1593	12
992	1594	11
993	1596	9
994	1597	8
995	1598	6
996	1599	4
997	1600	3
998	1601	1
999	1602	0
